Laporan Penjualan

Tanggal Cetak,2017-08-11 - 2017-12-11
Laporan Omzet,Rp.306.110.000
Laporan Laba Kotor,Rp.306.110.000
Laporan Penjualan,2572
Laporan Barang,2572




ID Pesanan,Waktu,SKU,Nama Barang,Jumlah,Harga Jual,Total,Harga Beli,Laba
Pesanan ID-20171210-679538,2017-12-10T00:40:54Z,SSI-D00864612-LL-NAV,"Deklia Plain Casual Blouse (L,Navy)",1,Rp.130.000,Rp.130.000,Rp.67.365,Rp.62.635
Pesanan ID-20171210-207290,2017-12-10T00:38:34Z,SSI-D01322275-XL-WHI,"Thafqya Plain Raglan Blouse (XL,White)",1,Rp.125.000,Rp.125.000,Rp.62.209,Rp.62.791
Pesanan ID-20171210-207290,2017-12-10T00:38:34Z,SSI-D00864612-LL-NAV,"Deklia Plain Casual Blouse (L,Navy)",1,Rp.125.000,Rp.125.000,Rp.67.365,Rp.57.635
Pesanan ID-20171210-400610,2017-12-10T00:45:39Z,SSI-D00791077-MM-BWH,"Zalekia Plain Casual Blouse (M,Broken White)",1,Rp.120.000,Rp.120.000,Rp.71.854,Rp.48.146
Pesanan ID-20171210-400610,2017-12-10T00:45:39Z,SSI-D01220334-XL-YEL,"Devibav Plain Trump Blouse (XL,Yellow)",1,Rp.120.000,Rp.120.000,Rp.71.835,Rp.48.165
Pesanan ID-20171210-519108,2017-12-10T00:48:21Z,SSI-D01322234-LL-WHI,"Thafqya Plain Raglan Blouse (L,White)",1,Rp.120.000,Rp.120.000,Rp.73.600,Rp.46.400
Pesanan ID-20171210-225835,2017-12-10T00:34:29Z,SSI-D01220349-LL-YEL,"Devibav Plain Trump Blouse (L,Yellow)",1,Rp.120.000,Rp.120.000,Rp.72.543,Rp.47.457
Pesanan ID-20171210-263520,2017-12-10T00:19:10Z,SSI-D01220307-XL-SAL,"Devibav Plain Trump Blouse (XL,Salem)",1,Rp.120.000,Rp.120.000,Rp.69.046,Rp.50.954
Pesanan ID-20171210-242722,2017-12-10T00:26:30Z,SSI-D01322275-XL-WHI,"Thafqya Plain Raglan Blouse (XL,White)",1,Rp.115.000,Rp.115.000,Rp.62.209,Rp.52.791
Pesanan ID-20171210-998872,2017-12-10T00:56:13Z,SSI-D01322275-XL-WHI,"Thafqya Plain Raglan Blouse (XL,White)",1,Rp.110.000,Rp.110.000,Rp.62.209,Rp.47.791
Pesanan ID-20171210-998872,2017-12-10T00:56:13Z,SSI-D01326286-LL-KHA,"Siunfhi Ethnic Trump Blouse (L,Khaki)",1,Rp.115.000,Rp.115.000,Rp.68.454,Rp.46.546
Pesanan ID-20171210-706758,2017-12-10T00:43:45Z,SSI-D01220338-XX-SAL,"Devibav Plain Trump Blouse (XXL,Salem)",1,Rp.120.000,Rp.120.000,Rp.67.300,Rp.52.700
