Laporan Nilai Barang

Tanggal Cetak,8 Sep 2019
Jumlah SKU,31
Jumlah Total Barang,6638
Total Nilai,Rp.462.068.460




SKU,Nama Item,Jumlah,Rata-Rata Harga Beli,Total
SSI-D00791015-LL-BWH,"Zalekia Plain Casual Blouse (L,Broken White)",308,Rp.70.447,Rp.21.697.676
SSI-D00791077-MM-BWH,"Zalekia Plain Casual Blouse (M,Broken White)",276,Rp.71.854,Rp.19.831.704
SSI-D00791091-XL-BWH,"Zalekia Plain Casual Blouse (XL,Broken White)",274,Rp.73.323,Rp.20.090.502
SSI-D00864612-LL-NAV,"Deklia Plain Casual Blouse (L,Navy)",16,Rp.67.365,Rp.1.077.840
SSI-D00864614-XL-NAV,"Deklia Plain Casual Blouse (XL,Navy)",194,Rp.65.560,Rp.12.718.640
SSI-D00864652-SS-NAV,"Deklia Plain Casual Blouse (S,Navy)",4,Rp.71.624,Rp.286.496
SSI-D00864661-MM-NAV,"Deklia Plain Casual Blouse (M,Navy)",26,Rp.72.961,Rp.1.896.986
SSI-D01037807-X3-BWH,"Dellaya Plain Loose Big Blouse (XXXL,Broken White)",148,Rp.62.320,Rp.9.223.360
SSI-D01037812-X3-BLA,"Dellaya Plain Loose Big Blouse (XXXL,Black)",108,Rp.67.978,Rp.7.341.624
SSI-D01037822-XX-BLA,"Dellaya Plain Loose Big Blouse (XXL,Black)",16,Rp.74.010,Rp.1.184.160
SSI-D01220307-XL-SAL,"Devibav Plain Trump Blouse (XL,Salem)",364,Rp.69.046,Rp.25.132.744
SSI-D01220322-MM-YEL,"Devibav Plain Trump Blouse (M,Yellow)",242,Rp.67.666,Rp.16.375.172
SSI-D01220334-XL-YEL,"Devibav Plain Trump Blouse (XL,Yellow)",220,Rp.71.835,Rp.15.803.700
SSI-D01220338-XX-SAL,"Devibav Plain Trump Blouse (XXL,Salem)",130,Rp.67.300,Rp.8.749.000
SSI-D01220346-LL-SAL,"Devibav Plain Trump Blouse (L,Salem)",302,Rp.71.880,Rp.21.707.760
SSI-D01220349-LL-YEL,"Devibav Plain Trump Blouse (L,Yellow)",202,Rp.72.543,Rp.14.653.686
SSI-D01220355-XX-YEL,"Devibav Plain Trump Blouse (XXL,Yellow)",280,Rp.65.364,Rp.18.301.920
SSI-D01220357-SS-YEL,"Devibav Plain Trump Blouse (S,Yellow)",148,Rp.63.650,Rp.9.420.200
SSI-D01220388-MM-SAL,"Devibav Plain Trump Blouse (M,Salem)",432,Rp.67.500,Rp.29.160.000
SSI-D01322234-LL-WHI,"Thafqya Plain Raglan Blouse (L,White)",210,Rp.73.600,Rp.15.456.000
SSI-D01322275-XL-WHI,"Thafqya Plain Raglan Blouse (XL,White)",232,Rp.62.360,Rp.14.467.520
SSI-D01326201-XL-KHA,"Siunfhi Ethnic Trump Blouse (XL,Khaki)",372,Rp.69.808,Rp.25.968.576
SSI-D01326205-MM-NAV,"Siunfhi Ethnic Trump Blouse (M,Navy)",286,Rp.75.209,Rp.21.509.774
SSI-D01326223-MM-KHA,"Siunfhi Ethnic Trump Blouse (M,Khaki)",418,Rp.64.728,Rp.27.056.304
SSI-D01326286-LL-KHA,"Siunfhi Ethnic Trump Blouse (L,Khaki)",420,Rp.68.454,Rp.28.750.680
SSI-D01326299-LL-NAV,"Siunfhi Ethnic Trump Blouse (L,Navy)",254,Rp.66.955,Rp.17.006.570
SSI-D01401050-MM-RED,"Zeomila Zipper Casual Blouse (M,Red)",176,Rp.80.230,Rp.14.120.480
SSI-D01401064-XL-RED,"Zeomila Zipper Casual Blouse (XL,Red)",123,Rp.78.612,Rp.9.669.276
SSI-D01401071-LL-RED,"Zeomila Zipper Casual Blouse (L,Red)",199,Rp.70.700,Rp.14.069.300
SSI-D01466013-XX-BLA,"Salyara Plain Casual Big Blouse (XXL,Black)",154,Rp.78.269,Rp.12.053.426
SSI-D01466064-X3-BLA,"Salyara Plain Casual Big Blouse (XXXL,Black)",104,Rp.70.071,Rp.7.287.384
